Site Name,Type/Location,SES/Income Category,Planted year,Years between planting and census
Athenaeum,Business,Middle,2017,1
Bauman Park,Residential,Low,2014,4
Center for Inquiry,School,Middle,2015,3
Chinqpin Oak Park,Residential,Low,2016,2
Community Caring & Sharing,Business,Low,2017,1
Cottage Home,Other,Middle,2011,7
Englewood,Business,Low,2012,6
Fletcher Gateway,Other,Upper,2014,4
Fletcher Park,Other,Low,2013,5
Historic Meridian Park,Residential,Low,2014,4
Jonathan Jennings,School,Middle,2012,6
Lynhurst,School,Middle,2013,5
Merrill Street,Business,Upper,2013,5
Paramount Charter,School,Low,2013,5
Purpose Park,Residential,Low,2014,4
Ransom Place,Residential,Low,2015,3
Skiles Test,School,Upper,2015,3
University Park,Other,Middle,2014,4
Westminster,Business,Low,2014,4
Willard Park,Residential,Middle,2015,3
